condition_id,mission,algorithm,top_k_level,top_k_rate,top_k_cells,status,stopped_reason,representative,completed_trial_count,failed_trial_count,planned_trial_count,historical_system_csv,historical_system_sha256,device_ids,mixed_device_condition,build_ids,campaign_id,campaign_manifest_schema,campaign_manifest_sha256,implementation_id,campaign_build_id,build_manifest_sha256,allocator_source_bundle_sha256,deployed_module_set_sha256,host_source_sha256,simulator_source_sha256,scenario_sha256,analysis_valid,invalidation_reason,allocator_call_count,timed_allocator_call_count,calls_with_filter,candidate_filter_invocation_count,call_class_counts,allocator_time_total_us,allocator_time_mean_us,allocator_time_median_us,allocator_time_p95_us,allocator_time_max_us,candidate_filter_time_total_us,candidate_filter_time_mean_us,candidate_filter_time_median_us,candidate_filter_time_p95_us,candidate_filter_time_max_us,allocator_exclusive_time_total_us,allocator_exclusive_time_mean_us,allocator_exclusive_time_median_us,allocator_exclusive_time_p95_us,allocator_exclusive_time_max_us
bayesian_acbba_topk_001_k4,bayesian,ACBBA,1%,0.01,4,complete,,True,25,0,25,,,e4621cb30b0b342f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3525,3525,1684,1684,cached_or_maintenance:1745;candidate_filter_only:247;partial_bundle_refill:1533,1427478701.0,404958.49673758866,20599.0,996110.0,1412009.0,815662760.0,231393.69078014186,0.0,535453.0,743828.0,611815941.0,173564.8059574468,20599.0,553324.0,1110960.0
bayesian_acbba_topk_003_k11,bayesian,ACBBA,3%,0.03,11,complete,,True,25,0,25,,,e4621cb30b2b352f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3544,3544,1703,1703,cached_or_maintenance:1745;candidate_filter_only:2;partial_bundle_refill:1797,1984615460.0,559993.0756207675,20407.5,1467102.0,2066162.0,909792551.0,256713.473758465,0.0,653371.0,1026848.0,1074822909.0,303279.60186230246,20407.5,990916.0,1637588.0
bayesian_acbba_topk_005_k18,bayesian,ACBBA,5%,0.05,18,complete,,False,24,1,24,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_5\system_performance.csv,4a520abc7159146a9c240a39fe554360df4f17b50d58b73c3e385ca52c8a0d4b,e4621cb30b16392f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,,,,,,,,,,,,,,,,,,,,
bayesian_acbba_topk_010_k36,bayesian,ACBBA,10%,0.1,36,complete,,True,25,0,25,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_10\system_performance.csv,876a89719d130651e78fda11477729c5521db2cdedbb9eaec81f6605fdf2d637,e4621cb30b0b342f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3816,3816,1975,1975,cached_or_maintenance:1745;partial_bundle_refill:2071,4864174775.0,1274678.9242662473,1555162.5,3260971.0,4154429.0,2377314050.0,622985.8621593291,522517.0,2194642.0,3301123.0,2486860725.0,651693.0621069182,823193.5,1806416.0,2868753.0
bayesian_acbba_topk_025_k90,bayesian,ACBBA,25%,0.25,90,complete,,True,25,0,25,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_25\system_performance.csv,9e9aff6ec70c3427c248d836bfaefe8abbf859750550ed4bcce8c1e4e01aa52c,e4621cb30b43372f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,4204,4204,2363,2363,cached_or_maintenance:1745;candidate_filter_only:2;partial_bundle_refill:2457,13274195912.0,3157515.6784015223,3689174.5,8815633.0,11595343.0,7415222802.0,1763849.3820171265,762978.5,6571497.0,9732441.0,5858973110.0,1393666.2963843958,1986106.0,3296425.0,4063159.0
bayesian_acbba_topk_050_k181,bayesian,ACBBA,50%,0.5,181,complete,,True,25,0,25,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_50\system_performance.csv,21caa6b8f8b2ed55beb8aa57f93ed30224d55db7073c11a0ff1cc4c76a05cb72,e4621cb30b4b372f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,4035,4035,2194,2194,cached_or_maintenance:1745;candidate_filter_only:5;partial_bundle_refill:2285,19576869040.0,4851764.322180917,3616367.0,14878413.0,23365355.0,10872510142.0,2694550.2210656754,402662.0,10769182.0,19687029.0,8704358898.0,2157214.1011152416,3204473.0,4601962.0,4943753.0
bayesian_acbba_topk_075_k271,bayesian,ACBBA,75%,0.75,271,stopped,timing_unusable_30s,False,14,0,25,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_75\system_performance.csv,3c43412efdca306ad964ede329f597d0d1400a08f2bca4819a6b46292f54c4b8,e4621cb30b2b352f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,,,,,,,,,,,,,,,,,,,,
bayesian_acbba_topk_100_k361,bayesian,ACBBA,100%,1.0,361,complete,,True,25,0,25,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\bayesian_clue_search\primary_topk_campaign\combined\acbba_topk_100\system_performance.csv,2131ae23deaaf71c5d8d2e2c8b8d09121ec51a4bfea17f507011e99d820f3f38,e4621cb30b16392f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3984,3984,2143,2143,cached_or_maintenance:1745;candidate_filter_only:8;partial_bundle_refill:2231,11818011618.0,2966368.378012048,3361724.0,6994384.0,7766387.0,1004966497.0,252250.6267570281,396351.5,507070.0,566325.0,10813045121.0,2714117.75125502,2958171.0,6493875.0,7200442.0
bayesian_cbaa_topk_001_k4,bayesian,CBAA,1%,0.01,4,complete,,True,25,0,25,,,e4621cb30b4b372f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3264,3264,1419,1419,cached_or_maintenance:1845;candidate_filter_only:1419,851274154.0,260807.0324754902,5296.0,626035.0,805859.0,700099983.0,214491.41636029413,0.0,538806.0,737824.0,151174171.0,46315.61611519608,5296.0,153945.0,248575.0
bayesian_cbaa_topk_003_k11,bayesian,CBAA,3%,0.03,11,complete,,True,25,0,25,,,e4621cb30b4b372f,False,micropython_1_24_o0_2539f0c4fe4d,pololu_native_persistent_v8,2,e777f7ae8944d7a130951714be14106d5782ffa9cff0129d3091bb3c8ec67166,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,c083045f59564893f24b408a2f18f2a9d3df1dab845750d51b4c4d27446a17c8,9139f6a4fa259016f0e650489d605333758491b62151a742e406cc17dd5df085,True,,3466,3466,1623,1623,cached_or_maintenance:1843;candidate_filter_only:1623,1067799470.0,308078.32371609926,5554.5,701327.0,1081273.0,842713717.0,243137.2524523947,0.0,594641.0,996434.0,225085753.0,64941.07126370456,5554.5,198582.0,327812.0
