# scenario_set=topk_readonly_sensitivity
# seed=20274852
# grid_size=14
# num_trials=50
# reserved_robot_counts=4
# target_decay_exp=1.0
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,0,11,7,11,7,9,1,12,7,6,6,13,0
1,1,8,0,8,0,6,4,1,4,4,3,2,9
2,2,1,3,1,3,6,3,1,4,4,0,8,5
3,3,7,5,7,5,4,13,5,0,4,3,1,9
4,4,10,6,10,6,12,13,11,3,9,6,1,8
5,5,12,10,12,10,5,2,4,13,8,1,3,9
6,6,8,9,8,9,9,7,5,10,11,10,5,4
7,7,8,1,8,1,5,3,9,8,13,3,1,4
8,8,9,9,9,9,9,11,5,4,9,10,8,11
9,9,0,7,0,7,11,3,0,5,0,11,4,5
10,10,8,6,8,6,7,9,7,11,13,10,10,5
11,11,13,4,13,4,4,8,11,4,10,9,9,10
12,12,6,11,6,11,4,0,13,1,8,11,5,12
13,13,1,9,1,9,13,6,12,9,4,7,7,9
14,14,8,9,8,9,7,7,9,10,12,0,1,1
15,15,0,11,0,11,1,10,7,2,1,11,7,13
16,16,0,6,0,6,0,8,2,13,13,9,4,11
17,17,11,5,11,5,12,9,4,6,9,9,13,4
18,18,10,6,10,6,9,8,7,10,8,12,4,12
19,19,1,12,1,12,6,10,0,5,13,2,8,11
20,20,0,7,0,7,3,6,11,1,13,3,5,5
21,21,1,9,1,9,4,11,2,11,6,11,2,9
22,22,5,0,5,0,8,0,13,5,11,13,12,8
23,23,10,11,10,11,9,9,7,10,5,9,12,10
24,24,6,2,6,2,6,5,7,5,9,3,11,0
25,25,6,9,6,9,13,11,6,11,6,2,4,9
26,26,0,11,0,11,4,0,1,7,1,13,11,0
27,27,13,12,13,12,8,12,12,2,12,13,11,11
28,28,8,5,8,5,4,8,9,3,10,11,13,12
29,29,4,12,4,12,3,12,10,11,1,11,10,8
30,30,12,10,12,10,7,8,12,7,4,10,11,12
31,31,8,6,8,6,6,6,8,3,6,13,2,6
32,32,11,10,11,10,12,8,6,13,12,6,3,6
33,33,4,0,4,0,7,2,1,1,3,12,10,6
34,34,8,8,8,8,8,7,4,10,10,8,10,10
35,35,6,13,6,13,13,7,3,13,10,11,6,9
36,36,3,10,3,10,3,4,2,9,1,11,9,10
37,37,12,3,12,3,3,0,9,4,7,4,12,1
38,38,4,3,4,3,2,1,8,5,5,3,3,2
39,39,1,3,1,3,0,8,7,4,13,5,5,8
40,40,1,0,1,0,2,9,8,4,1,10,0,1
41,41,5,6,5,6,1,9,10,3,11,7,9,13
42,42,12,9,12,9,3,9,3,6,8,7,10,6
43,43,12,5,12,5,12,9,9,4,13,5,11,3
44,44,1,0,1,0,0,2,3,1,3,8,9,8
45,45,4,7,4,7,13,13,0,1,13,8,4,2
46,46,7,4,7,4,8,6,7,8,12,1,0,11
47,47,10,3,10,3,8,6,9,7,8,7,6,6
48,48,6,8,6,8,8,8,7,8,6,7,5,5
49,49,7,4,7,4,11,11,9,10,6,9,9,1
