artifact_path,mission,execution,status,rows,description
Simulation/Bayesian/Published/bayesian_topk_all_k_trial_level_system_and_timing_results.csv,Bayesian CLUE search,simulation,complete,27000,"Canonical all-K trial-level simulation dataset combining K=1, 1%, 3%, and the original 5%-100% conditions; includes performance, maximum-step, allocator, filter, call-count, and host-runtime metrics."
Simulation/Collaborative/Published/collaborative_topk_all_k_trial_level_system_and_timing_results.csv,Collaborative known-target visit,simulation,complete,4800,"Canonical all-K trial-level simulation dataset combining K=1 and K=2 with the original 5%-100% conditions; includes visit performance, maximum-step, allocator, filter, call-count, and target-completion metrics."
Simulation/TopKStudyVerification/bayesian_and_collaborative_topk_all_k_unified_dataset_verification_summary.json,Both simulation missions,simulation,passed,,"Verification of row counts, unique keys, condition counts, source preservation, timing completeness, maximum-step completeness, headers, and mission consistency for both canonical simulation CSVs."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_condition_aggregate_metrics.csv,Bayesian CLUE search,HIL,terminal with capped conditions,48,"Condition-level HIL timing aggregates and statuses for all 48 non-K=1 conditions, including completed, failed-trial, and 30-second timing-cap outcomes."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_combined_trial_level_system_and_timing_results.csv,Bayesian CLUE search,HIL,canonical combined partial terminal dataset,793,"Canonical combined HIL analysis CSV with one row per successful system trial, including team performance, maximum robot steps, allocator/filter timing distributions, call classifications, and provenance."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_robot_trial_timing_and_allocator_metrics.csv,Bayesian CLUE search,HIL,partial terminal dataset,3172,"Per-robot HIL timing and allocator metrics for successful Bayesian system trials; four rows correspond to each system trial."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_failed_trial_log.csv,Bayesian CLUE search,HIL,complete failure log,3,"All recorded Bayesian HIL trial failures, including one hardware-state setup failure and two repeated-state deadlocks with watchdog diagnostics."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_watchdog_threshold_adjustment_log.csv,Bayesian CLUE search,HIL,complete adjustment log,1,"One HIPC repeated-state watchdog threshold adjustment recorded during the Bayesian HIL segment."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_dataset_verification_manifest.json,Bayesian CLUE search,HIL,passed,,"Original Bayesian-only report manifest containing source filenames, row counts, SHA-256 checksums, and arithmetic verification results."
HIL/Bayesian/CompletedTopKCampaignV8/bayesian_hil_topk_non_k1_publication_manifest.json,Bayesian CLUE search,HIL,passed,,"Publication manifest mapping descriptive filenames to checksums, coverage counts, terminal condition statuses, and standalone file descriptions."
reorganization_result_integrity_audit.json,All missions,migration audit,passed,,"Content-hash audit confirming that every measured pre-migration result artifact remains present; separately classifies rewritten index metadata and generated device-build artifacts."
