# scenario_set=independent_sensitivity_tuning
# seed=20260702
# grid_size=19
# num_trials=300
# num_clues=4
# num_robots=4
# clue_weight=1/((1+manhattan_distance)**1.0)
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,0,8,3,8,3,0,9,12,11,8,1,3,16
1,1,11,5,11,5,9,2,1,5,14,4,9,15
2,2,2,15,2,15,13,5,11,13,8,18,10,2
3,3,5,1,5,1,16,1,1,13,7,16,10,14
4,4,2,15,2,15,7,16,6,13,2,14,14,1
5,5,0,9,0,9,3,10,7,9,0,1,1,10
6,6,10,16,10,16,9,17,7,14,11,16,9,9
7,7,18,14,18,14,10,9,18,12,1,17,17,9
8,8,16,2,16,2,16,17,15,0,12,2,5,9
9,9,17,3,17,3,12,3,17,6,15,10,14,5
10,10,12,7,12,7,0,8,18,13,11,9,10,0
11,11,15,3,15,3,17,9,10,2,1,13,4,13
12,12,12,5,12,5,11,10,15,8,11,2,9,2
13,13,7,6,7,6,4,9,6,6,3,14,18,8
14,14,11,0,11,0,11,15,13,2,8,11,9,6
15,15,10,11,10,11,14,15,5,17,5,11,15,8
16,16,1,7,1,7,1,9,16,0,12,5,17,2
17,17,15,17,15,17,12,17,4,7,3,15,16,3
18,18,9,13,9,13,13,8,5,13,12,14,3,3
19,19,9,16,9,16,16,12,11,16,8,1,4,17
20,20,11,6,11,6,4,11,1,6,14,9,5,16
21,21,15,1,15,1,8,12,15,0,15,7,12,5
22,22,7,0,7,0,6,5,16,0,12,6,8,17
23,23,4,9,4,9,16,10,3,9,9,13,11,6
24,24,11,11,11,11,12,18,8,10,9,15,11,8
25,25,12,14,12,14,17,15,5,10,10,17,6,17
26,26,2,16,2,16,2,15,3,16,1,16,9,15
27,27,15,13,15,13,1,7,7,14,18,0,5,11
28,28,12,14,12,14,11,10,14,5,14,12,17,2
29,29,17,8,17,8,15,1,17,4,12,14,1,17
30,30,9,18,9,18,9,15,14,8,8,12,10,17
31,31,10,14,10,14,17,18,18,5,4,13,7,5
32,32,11,15,11,15,14,17,0,17,9,15,12,13
33,33,15,9,15,9,0,9,10,16,14,7,18,9
34,34,11,12,11,12,13,8,14,14,9,7,15,1
35,35,14,11,14,11,7,18,3,12,5,6,1,12
36,36,13,8,13,8,13,6,11,7,16,2,17,9
37,37,5,10,5,10,18,10,6,8,13,11,5,9
38,38,12,7,12,7,7,7,3,6,14,10,12,0
39,39,1,8,1,8,4,9,0,7,6,7,12,4
40,40,10,17,10,17,4,17,10,16,13,15,7,12
41,41,6,14,6,14,0,9,4,0,13,14,3,17
42,42,2,14,2,14,3,14,18,7,0,1,4,13
43,43,10,2,10,2,2,2,4,3,16,1,4,11
