# condition: distribution=1, clues_per_object=4, grid_size=19
# base_seed: None
episode,object_x,object_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,3,6,17,4,10,5,11,13,11,18
1,12,15,13,15,15,1,14,0,15,13
2,17,3,18,13,11,16,1,1,1,3
3,11,8,11,7,15,14,17,13,18,15
4,5,18,9,17,3,6,5,15,2,11
5,9,9,10,10,15,17,11,7,10,13
6,8,4,2,0,11,13,6,0,16,9
7,3,9,2,13,11,8,16,2,14,3
8,15,18,4,17,5,6,17,18,15,16
9,17,6,6,2,17,5,1,8,16,12
10,17,3,13,12,13,1,18,2,8,2
11,12,8,13,10,7,18,15,5,15,9
12,18,16,14,16,18,15,18,3,0,3
13,15,5,8,0,15,7,16,0,1,15
14,14,16,12,13,17,12,9,15,14,18
15,14,5,0,13,13,13,13,6,7,18
16,3,18,3,14,2,18,4,18,2,17
17,7,12,14,5,5,14,7,15,7,13
18,10,1,6,5,10,8,17,5,17,11
19,8,3,15,5,6,2,17,9,10,9
20,12,18,6,11,13,0,11,17,13,11
21,13,14,15,12,17,14,14,16,6,13
22,7,2,6,15,3,4,3,2,16,2
23,12,5,18,0,5,4,3,12,10,11
24,7,17,12,0,17,7,13,16,8,13
25,7,18,5,7,4,12,8,17,5,12
26,18,17,13,18,3,11,17,15,15,17
27,12,18,11,12,4,9,7,15,18,16
28,6,6,11,18,16,1,6,9,14,10
29,11,10,7,10,4,18,5,7,17,11
30,17,12,1,13,3,14,5,15,10,3
31,2,3,0,1,8,7,4,4,18,12
32,11,16,14,18,7,18,8,12,9,15
33,15,5,13,10,8,3,13,2,12,6
34,5,1,8,18,1,10,15,18,4,1
35,2,2,3,1,10,9,17,18,10,3
36,7,15,14,2,18,16,4,17,13,14
37,11,0,12,0,11,9,8,6,4,0
38,11,2,12,3,14,1,18,1,14,9
39,15,7,15,5,9,12,6,11,1,10
40,17,18,10,16,16,8,1,7,12,7
41,3,13,12,18,15,4,7,4,7,15
42,5,17,14,13,5,13,15,6,10,14
43,2,15,4,14,5,5,6,10,2,12
44,14,15,3,13,15,13,3,18,13,12
45,17,16,15,8,3,13,8,18,11,6
46,10,12,11,12,9,16,10,13,1,13
47,1,10,12,7,18,9,5,8,15,7
