trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,367,90,277,312,59,2,3,3,1300,3896,0,371,929,750,550,1120,550,0.0,4.166666666666667,4.043321299638989,1.4986376021798364,1.9855595667870036,1.7628205128205128,clue:12;collision_intent:370;hipc_entry:550;state:367;target:1,92,341,0.04166666666666674,completed,,,
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,89,53,36,91,2,0,2,1,238,712,0,92,146,185,53,132,53,0.0,2.6153846153846154,3.6666666666666665,0.5955056179775281,1.4722222222222223,0.5824175824175825,clue:4;collision_intent:91;hipc_clear_bundle:1;hipc_entry:52;state:89;target:1,23,70,0.024725274725274637,completed,,,
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,171,98,73,165,10,0,0,0,487,1457,0,172,315,347,140,291,140,0.0,2.9515151515151516,3.9863013698630136,0.8187134502923976,1.917808219178082,0.8484848484848485,clue:4;collision_intent:171;hipc_entry:140;state:171;target:1,43,131,0.010606060606060508,completed,,,
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,284,67,217,249,39,1,4,4,999,2994,0,291,708,591,408,864,408,0.0,4.0120481927710845,3.9815668202764978,1.4366197183098592,1.880184331797235,1.6385542168674698,clue:16;collision_intent:290;hipc_clear_bundle:1;hipc_entry:407;state:284;target:1,73,265,0.011044176706827225,completed,,,
4,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,39,24,15,42,1,0,0,0,101,300,0,40,61,83,18,53,18,0.0,2.4047619047619047,3.533333333333333,0.46153846153846156,1.2,0.42857142857142855,clue:4;collision_intent:39;hipc_entry:18;state:39;target:1,10,27,0.023809523809523725,completed,,,
5,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,537,122,415,361,180,1,56,54,1686,5054,0,598,1088,1151,535,1442,535,0.0,4.670360110803324,3.474698795180723,0.9962756052141527,1.2891566265060241,1.481994459833795,clue:16;collision_intent:597;hipc_clear_bundle:3;hipc_entry:532;state:537;target:1,138,442,0.0810249307479225,completed,,,
6,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,80,21,59,80,4,5,0,0,286,856,0,82,204,166,120,244,120,0.0,3.575,4.135593220338983,1.5,2.0338983050847457,1.5,clue:4;collision_intent:81;hipc_entry:120;state:80;target:1,21,79,0.03750000000000009,completed,,,
7,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,53,5,48,52,5,1,0,0,195,584,0,54,141,115,80,184,80,0.0,3.75,3.8333333333333335,1.509433962264151,1.6666666666666667,1.5384615384615385,clue:8;collision_intent:53;hipc_clear_bundle:1;hipc_entry:79;state:53;target:1,14,50,0.07692307692307687,completed,,,
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,91,34,57,93,2,1,3,2,268,801,0,96,172,195,73,200,73,0.0,2.881720430107527,3.508771929824561,0.8021978021978022,1.280701754385965,0.7849462365591398,clue:8;collision_intent:95;hipc_entry:73;state:91;target:1,23,72,0.018817204301075252,completed,,,
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,19,361,4,0.1,36,,,hipc_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,2,0,0,57,168,0,13,44,29,28,57,28,0.0,3.5625,4.75,2.3333333333333335,2.3333333333333335,1.75,clue:4;collision_intent:12;hipc_clear_bundle:2;hipc_entry:26;state:12;target:1,3,16,0.0,completed,,,
